ORF,Mtb_ortholog,functional_category,name,negative_call,positive_call,desc,sites,mean_ctrl,mean_exp,log2FC,sum_ctrl,sum_exp,delta_mean,pvalue,adj_pvalue
MB0016c,Rv0016c,cell wall and cell processes,pbpA,NE,NE,PROBABLE PENICILLIN-BINDING PROTEIN PBPA,33,73.7,70.3,-0.07,9731.7,9273.47,-3.5,0.9216,1
MB0017c,Rv0017c,cell wall and cell processes,rodA,NE,NE,PROBABLE CELL DIVISION PROTEIN RODA,26,78.3,101.6,0.35,8147.7,10564.84,23.2,0.4755,0.82513
MB0018c,Rv0018c,regulatory proteins,pstp,NE,NE,phosphoserine/threonine phosphatase pstp,23,60.6,59.4,-0.03,5578.7,5461.43,-1.3,0.9679,1
MB0019c,Rv0019c,regulatory proteins,fhaB,NE,NE,FHA-domain-containing protein,14,27.4,43.6,0.58,1536.5,2442.3,16.2,0.3943,0.77555
MB0020c,Rv0020c,regulatory proteins,fhaA,ES,ES,FIG00824290: FHA domain protein,39,13,11.3,-0.14,2025.7,1764.44,-1.7,0.8481,1
MB0021c,Rv0021c,conserved hypotheticals,NA,NE,NE,"putative oxidoreductase, nitronate monooxygenase family",20,261.9,197.3,-0.4,20952.9,15786.71,-64.6,0.4508,0.81279
MB0022c,Rv0022c,regulatory proteins,whiB5,NE,NE,probable transcriptional regulatory protein whib-like whib5,7,130.8,419,1.64,3661.8,11731.14,288.2,0.1162,0.49948
MB0023,Rv0023,regulatory proteins,NA,GD,NE,POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN,9,0,1.6,0.39,1.6,57.48,1.6,0.4857,0.82599
MB0024,Rv0024,"virulence, detoxification, adaptation",NA,NE,NE,PUTATIVE SECRETED PROTEIN P60-RELATED PROTEIN [FIRST PART],10,171.8,149.4,-0.2,6872.9,5977.92,-22.4,0.7478,1
MB0025,NA,NA,NA,NE,NE,PUTATIVE SECRETED PROTEIN P60-RELATED PROTEIN [SECOND PART],2,267.2,319.3,0.25,2137.5,2554.21,52.1,0.804,1
MB0026,Rv0025,conserved hypotheticals,NA,NE,NE,CONSERVED HYPOTHETICAL PROTEIN,7,63.2,39.9,-0.6,1770.3,1116.22,-23.4,0.4072,0.78233
MB0027,Rv0026,conserved hypotheticals,NA,NE,NE,CONSERVED HYPOTHETICAL PROTEIN,13,170.2,293.9,0.77,8850.2,15283.69,123.7,0.2649,0.66455
MB0028,Rv0027,conserved hypotheticals,NA,NE,NE,conserved hypothetical protein,5,68.4,302.9,2.07,1367.5,6057.09,234.5,0.1107,0.49394
MB0029,Rv0028,conserved hypotheticals,NA,NE,NE,conserved hypothetical protein,5,349.6,400.6,0.19,6991.8,8011.15,51,0.8048,1
MB0030,Rv0029,conserved hypotheticals,NA,NE,NE,Vegetative cell wall protein gp1 precursor,17,79.5,39,-0.94,5407,2648.76,-40.6,0.0979,0.48148
MB0031,Rv0030,conserved hypotheticals,NA,NE,NE,conserved hypothetical protein,5,59.4,45.4,-0.36,1189,907.61,-14.1,0.6758,0.95748
MB0032,Rv0031,insertion seqs and phages,NA,NE,NE,possible remnant of a transposase,0,0,0,0,0,0,0,1,1
MB0033,Rv0032,intermediary metabolism and respiration,bioF2,NE,GD,POSSIBLE 8-AMINO-7-OXONONANOATE SYNTHASE BIOF2 (AONS) (8-AMINO-7-KETOPELARGONATE SYNTHASE) (7-KETO-8-AMINO-PELARGONIC ACID SYNTHETASE) (7-KAP SYNTHETASE) (L-ALANINE--PIMELYL CoA LIGASE),53,144.3,67.7,-1.04,30597.6,14351.33,-76.6,0.04,0.34708
MB0034,Rv0033,lipid metabolism,acpA,NE,NE,PROBABLE ACYL CARRIER PROTEIN ACPA (ACP),3,159.9,79.4,-0.97,1919.3,952.2,-80.6,0.2192,0.63539
MB0035,Rv0034,conserved hypotheticals,NA,NE,NE,Ketosteroid isomerase-related protein,4,293.2,186.8,-0.64,4691.4,2988.72,-106.4,0.4662,0.82205
MB0036,Rv0035,lipid metabolism,fadD34,NE,NE,PROBABLE FATTY-ACID-COA LIGASE FADD34 (FATTY-ACID-COA SYNTHETASE) (FATTY-ACID-COA SYNTHASE),22,283.9,217.6,-0.38,24986.8,19144.5,-66.4,0.4829,0.82599
MB0037c,Rv0036c,conserved hypotheticals,NA,NE,NE,conserved protein,4,119.3,5.9,-3.51,1908.3,94.21,-113.4,0.0012,0.08668
MB0038c,Rv0037c,cell wall and cell processes,NA,NE,NE,PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN,18,186.9,294.1,0.64,13459.1,21173.16,107.1,0.3328,0.73003
MB0039,Rv0038,conserved hypotheticals,NA,NE,NE,UPF0301 protein YqgE,7,291.5,201.8,-0.52,8162.7,5650.48,-89.7,0.4024,0.78148
MB0040c,Rv0039c,cell wall and cell processes,NA,NE,NE,POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN,3,51.7,261.4,2.23,620.6,3137.39,209.7,0.114,0.49691
MB0041c,Rv0040c,cell wall and cell processes,mtc28,NE,NE,SECRETED PROLINE RICH PROTEIN MTC28 (PROLINE RICH 28 KDA ANTIGEN),8,161.6,154.7,-0.06,5172.3,4950.95,-6.9,0.9162,1
MB0042,Rv0041,information pathways,leuS,ES,ES,PROBABLE LEUCYL-tRNA SYNTHETASE LEUS (LEUCINE--tRNA LIGASE) (LEURS),67,2,0,-0.48,526.2,0,-2,1,1
MB0043c,Rv0042c,regulatory proteins,NA,NE,NE,POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY MARR-FAMILY),5,25,130.5,2.18,499.9,2609.99,105.5,0.0626,0.41918
MB0044c,Rv0043c,regulatory proteins,NA,NE,NE,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY),10,111.7,75.9,-0.53,4467.6,3034.05,-35.8,0.4721,0.82383
MB0045c,Rv0044c,intermediary metabolism and respiration,NA,NE,NE,POSSIBLE OXIDOREDUCTASE,18,143.8,176.8,0.29,10356.3,12727.51,32.9,0.7035,0.97688
MB0046c,Rv0045c,lipid metabolism,NA,NE,NE,POSSIBLE HYDROLASE,7,108.6,83.5,-0.36,3041.3,2337.24,-25.1,0.6052,0.90971
MB0047c,Rv0046c,intermediary metabolism and respiration,ino1,ES,ES,MYO-INOSITOL-1-PHOSPHATE SYNTHASE INO1 (Inositol 1-phosphate synthetase) (D-glucose 6-phosphate cycloaldolase) (Glucose 6-phosphate cyclase) (Glucocycloaldolase),14,0,0,0,0,0,0,1,1
MB0048c,Rv0047c,conserved hypotheticals,NA,NE,NE,"Transcriptional regulator, PadR family",7,135.8,216.6,0.65,3801.8,6065.09,80.8,0.5231,0.84807
MB0049c,Rv0048c,cell wall and cell processes,NA,NE,NE,POSSIBLE MEMBRANE PROTEIN,15,162.3,276.9,0.75,9740.6,16612.35,114.5,0.2597,0.66099
MB0050,Rv0049,conserved hypotheticals,NA,NE,NE,CONSERVED HYPOTHETICAL PROTEIN,8,90.8,52.1,-0.75,2905.4,1668.2,-38.7,0.4051,0.78148
MB0051,Rv0050,cell wall and cell processes,ponA1,NE,NE,PROBABLE BIFUNCTIONAL PENICILLIN-BINDING PROTEIN 1A/1B PONA1 (MUREIN POLYMERASE) (PBP1): PENICILLIN-INSENSITIVE TRANSGLYCOSYLASE (PEPTIDOGLYCAN TGASE) + PENICILLIN-SENSITIVE TRANSPEPTIDASE (DD-TRANSPEPTIDASE),40,55.5,109.2,0.92,8872.6,17475.45,53.8,0.3802,0.76578
MB0052,Rv0051,cell wall and cell processes,NA,NE,NE,PROBABLE CONSERVED TRANSMEMBRANE PROTEIN,30,71.7,187.3,1.33,8605.7,22474.26,115.6,0.0301,0.3167
MB0053,Rv0052,conserved hypotheticals,NA,NE,NE,Intracellular protease,6,75.8,251.9,1.67,1819.4,6046.07,176.1,0.0464,0.37092
MB0054,Rv0053,information pathways,rpsF,NE,NE,30s ribosomal protein s6 rpsf,6,2.5,76.7,3.44,60.5,1840.47,74.2,0.4853,0.82599
MB0055,Rv0054,information pathways,ssb,NE,NE,single-strand binding protein ssb (helix-destabilizing protein),4,6.6,0,-1.21,104.8,0,-6.6,1,1
MB0056,Rv0055,information pathways,rpsR1,NE,NE,30s ribosomal protein s18-1 rpsr1,4,181.2,0.1,-5.19,2898.6,1.46,-181.1,0.2257,0.64001
MB0057,Rv0056,information pathways,rplI,NE,NE,50s ribosomal protein l9 rpli,6,79.2,88.3,0.15,1900.7,2119.92,9.1,0.9518,1
MB0058,Rv0057,conserved hypotheticals,NA,NE,NE,HYPOTHETICAL PROTEIN,14,94.2,176.1,0.87,5272.6,9859.47,81.9,0.4899,0.82744
MB0059,Rv0058,information pathways,dnaB,ES,ES,PROBABLE REPLICATIVE DNA HELICASE DNAB,36,0,0,0,0,0,0,1,1
MB0060,Rv0059,conserved hypotheticals,NA,NE,NE,HYPOTHETICAL PROTEIN,20,268.6,325.3,0.27,21486.9,26021.72,56.7,0.6376,0.93089
MB0061,Rv0060,conserved hypotheticals,NA,ES,ES,ADP-ribose 1-phosphate phophatase related protein,22,13.7,0,-1.91,1209.5,0,-13.7,0.2474,0.65056
MB0062A,Rv0061c,conserved hypotheticals,NA,NE,NE,Hypothetical protein,6,184.1,164.7,-0.16,4418.8,3951.64,-19.5,0.8519,1
MB0063,Rv0062,intermediary metabolism and respiration,celA1,NE,NE,"POSSIBLE CELLULASE CELA1 (ENDOGLUCANASE) (ENDO-1,4-BETA-GLUCANASE) (FI-CMCASE) (CARBOXYMETHYL CELLULASE)",20,108.4,146.4,0.42,8668.9,11715.26,38.1,0.3736,0.76285
MB0064,Rv0063,intermediary metabolism and respiration,NA,NE,NE,POSSIBLE OXIDOREDUCTASE,21,170.4,104.6,-0.68,14309.5,8784.46,-65.8,0.3057,0.70985
MB0065,Rv0064,cell wall and cell processes,NA,NE,NE,PROBABLE CONSERVED TRANSMEMBRANE PROTEIN,63,108.3,50.8,-1.02,27289.8,12810.68,-57.5,0.0261,0.29883
MB0065A,Rv0064A,"virulence, detoxification, adaptation",vapB1,NE,NE,Possible antitoxin VapB1,5,521.2,155.2,-1.72,10423.7,3103.65,-366,0.098,0.48148
MB0066,Rv0065,"virulence, detoxification, adaptation",vapc1,NE,NE,possible toxin vapc1,7,206.6,133.5,-0.61,5785.8,3738.42,-73.1,0.4195,0.78675
MB0067c,Rv0066c,intermediary metabolism and respiration,icd2,NE,NE,PROBABLE ISOCITRATE DEHYDROGENASE [NADP] ICD2 (OXALOSUCCINATE DECARBOXYLASE) (IDH) (NADP+-SPECIFIC ICDH) (IDP),35,31.1,96.1,1.48,4360,13459.86,65,0.0012,0.08668
MB0068c,Rv0067c,regulatory proteins,NA,NE,NE,POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY),12,97.6,96,-0.02,4684.5,4606.96,-1.6,0.9716,1
MB0069,Rv0068,intermediary metabolism and respiration,NA,NE,NE,PROBABLE OXIDOREDUCTASE,11,145.7,249,0.75,6410.3,10957.57,103.3,0.4485,0.81044
MB0070c,Rv0069c,intermediary metabolism and respiration,sdaA,NE,NE,PROBABLE L-SERINE DEHYDRATASE SDAA (L-SERINE DEAMINASE) (SDH) (L-SD),12,24.4,82,1.57,1171.3,3938.27,57.6,0.0714,0.44223
MB0071c,Rv0070c,intermediary metabolism and respiration,glyA2,NE,NE,serine hydroxymethyltransferase glya2 (serine methylase 2) (shmt 2),14,121.1,128,0.08,6781.4,7168.35,6.9,0.9112,1
MB0072,Rv0071,information pathways,NA,NE,NE,POSSIBLE MATURASE,7,324.2,544,0.74,9077,15231.04,219.8,0.3056,0.70985
MB0073,Rv0072,cell wall and cell processes,NA,NE,NE,PROBABLE GLUTAMINE-TRANSPORT TRANSMEMBRANE PROTEIN ABC TRANSPORTER,14,507.8,506,-0.01,28437.6,28334.28,-1.8,0.9939,1
MB0074,Rv0073,cell wall and cell processes,NA,NE,NE,PROBABLE GLUTAMINE-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER GLNQ,12,346,380.5,0.14,16606.9,18262,34.5,0.7989,1
MB0075,Rv0073,cell wall and cell processes,NA,NE,NE,PROBABLE GLUTAMINE-TRANSPORT PROTEIN ABC TRANSPORTER GLNQ,2,387.3,338.1,-0.19,3098.3,2704.71,-49.2,0.7896,1
MB0076,Rv0074,conserved hypotheticals,NA,NE,NE,Xaa-Pro dipeptidase (EC 3.4.13.9),17,96.1,256.7,1.37,6536.7,17453.46,160.5,0.0421,0.35478
MB0077,Rv0075,intermediary metabolism and respiration,NA,NE,NE,PROBABLE AMINOTRANSFERASE,20,282.6,319.4,0.17,22605,25554.06,36.9,0.721,0.99165
MB0078c,Rv0076c,cell wall and cell processes,NA,NE,NE,PROBABLE MEMBRANE PROTEIN,3,248.2,275.4,0.15,2978.5,3304.85,27.2,0.9112,1
MB0079c,Rv0077c,intermediary metabolism and respiration,NA,NE,NE,PROBABLE OXIDOREDUCTASE,12,143.3,177.8,0.3,6880.3,8534.69,34.5,0.5823,0.89491
MB0080,Rv0078,regulatory proteins,NA,NE,NE,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN,8,59.8,6,-2.56,1915,190.67,-53.9,0.0505,0.37898
MB0081A,Rv0078B,conserved hypotheticals,NA,NE,NE,Conserved protein,2,226.1,135.3,-0.72,1808.5,1082.54,-90.7,0.5076,0.82976
MB0081c,Rv0078A,conserved hypotheticals,NA,NE,NE,HYPOTHETICAL PROTEIN,10,84.6,254.3,1.53,3383.8,10173.47,169.7,0.023,0.28596
MB0082,Rv0079,conserved hypotheticals,NA,NE,NE,Ribosome hibernation promoting factor Hpf,13,148.8,88.8,-0.71,7737.1,4615.37,-60,0.331,0.72907
MB0083,Rv0080,conserved hypotheticals,NA,NE,NE,Putative DNA-binding protein,4,105.6,235.7,1.12,1689.1,3771.06,130.1,0.3208,0.72221
MB0084,Rv0081,regulatory proteins,NA,NE,NE,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN,4,391.5,158.5,-1.28,6263.8,2536.72,-232.9,0.2002,0.61629
MB0085,Rv0082,intermediary metabolism and respiration,NA,NE,NE,PROBABLE OXIDOREDUCTASE,6,34.4,37.3,0.1,826.4,894.61,2.8,0.9118,1
MB0086,Rv0083,intermediary metabolism and respiration,NA,NE,NE,PROBABLE OXIDOREDUCTASE,21,180.2,100,-0.82,15133.5,8398.49,-80.2,0.0984,0.48187
MB0087,Rv0084,intermediary metabolism and respiration,hycD,NE,NE,POSSIBLE FORMATE HYDROGENLYASE HYCD (FHL),8,47,58.2,0.28,1505.1,1862.53,11.2,0.7023,0.97622
MB0088,Rv0085,intermediary metabolism and respiration,hycP,NE,NE,POSSIBLE HYDROGENASE HYCP,4,4.4,1.6,-0.51,71,26.2,-2.8,0.3021,0.70676
MB0089,Rv0086,intermediary metabolism and respiration,hycQ,NE,NE,POSSIBLE HYDROGENASE HYCQ,12,90.8,42.2,-1.02,4360.3,2025.21,-48.6,0.1925,0.61055
MB0090,Rv0087,intermediary metabolism and respiration,hycE,NE,GD,possible formate hydrogenase hyce (fhl),21,61.7,10.1,-2.15,5178.8,845.68,-51.6,0.0166,0.25741000000000003
MB0091,Rv0088,lipid metabolism,NA,NE,GD,possible polyketide cyclase/dehydrase,14,81.3,0.6,-3.95,4550.7,31.75,-80.7,5e-4,0.06742
MB0092,Rv0089,intermediary metabolism and respiration,NA,NE,NE,POSSIBLE METHYLTRANSFERASE/METHYLASE,9,160.1,74.1,-1.06,5763.4,2668.43,-86,0.2989,0.70195
MB0093,Rv0090,cell wall and cell processes,NA,NE,NE,POSSIBLE MEMBRANE PROTEIN,12,185.3,90.7,-0.99,8894,4352.16,-94.6,0.0851,0.4633
MB0094,Rv0091,intermediary metabolism and respiration,mtn,NE,NE,probable bifunctional mta/sah nucleosidase mtn: 5'-methylthioadenosine nucleosidase (methylthioadenosine methylthioribohydrolase) + s-adenosylhomocysteine nucleosidase (s-adenosyl-l-homocysteine homocysteinylribohydrolase),8,440.9,286,-0.62,14108.7,9151.37,-154.9,0.3065,0.71008
MB0095,Rv0092,cell wall and cell processes,ctpA,NE,NE,cation transporter p-type atpase a ctpa,27,155.1,491.5,1.63,16753.5,53085.4,336.4,0.0381,0.34021
MB0096c,Rv0093c,cell wall and cell processes,NA,NE,NE,PROBABLE CONSERVED MEMBRANE PROTEIN,7,89.3,20.6,-1.88,2500.2,577.89,-68.7,0.0448,0.36316
MB0097c,Rv0094c,insertion seqs and phages,NA,NE,NE,13E12 repeat family protein,8,202.7,52.3,-1.86,6487.1,1674.36,-150.4,0.0071,0.18063
MB0098c,Rv1588c,insertion seqs and phages,NA,NE,NE,CONSERVED HYPOTHETICAL PROTEIN,16,60.8,22.3,-1.27,3893.7,1429.18,-38.5,0.0399,0.34708
MB0099,Rv0096,PE/PPE,PPE1,NE,NE,ppe family protein ppe1,32,183.6,155.6,-0.23,23496.8,19917.08,-28,0.5804,0.89403
MB0100,Rv0097,intermediary metabolism and respiration,NA,NE,NE,POSSIBLE OXIDOREDUCTASE,25,127.5,169.2,0.39,12753.2,16916.55,41.6,0.5669,0.88435
MB0101,Rv0098,lipid metabolism,fcot,NE,NE,probable fatty acyl coa thioesterase type iii fcot,11,38.3,31.3,-0.26,1686.6,1376.15,-7.1,0.7653,1
MB0102,Rv0099,lipid metabolism,fadD10,NE,NE,POSSIBLE FATTY-ACID-COA LIGASE FADD10 (FATTY-ACID-COA SYNTHETASE) (FATTY-ACID-COA SYNTHASE),29,11.8,18.5,0.48,1367.1,2144.03,6.7,0.3266,0.72855
MB0103,Rv0100,conserved hypotheticals,NA,NE,NE,pp-binding family protein Rv0100,3,59.2,382.1,2.59,710.8,4585.6,322.9,0.3583,0.75253
MB0104,Rv0101,lipid metabolism,nrp,NE,NE,PROBABLE PEPTIDE SYNTHETASE NRP (PEPTIDE SYNTHASE),104,99.7,77.7,-0.34,41488.3,32326.35,-22,0.3451,0.74133
MB0105,Rv0102,cell wall and cell processes,NA,ES,ES,PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN,37,0,8.4,1.42,0,1241.23,8.4,0.5033,0.82824
MB0106c,Rv0103c,cell wall and cell processes,ctpB,NE,NE,PROBABLE CATION-TRANSPORTER P-TYPE ATPASE B CTPB,28,131.3,170.6,0.37,14706.4,19106.05,39.3,0.5516,0.87087
MB0107,Rv0104,conserved hypotheticals,NA,NE,NE,cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases,23,248.4,408.8,0.71,22853.8,37611.39,160.4,0.0889,0.46876
MB0108c,Rv0105c,information pathways,rpmB1,NE,NE,50s ribosomal protein l28-1 rpmb1,5,58.3,44.2,-0.36,1165.3,884.09,-14.1,0.6847,0.96334
MB0109,Rv0106,conserved hypotheticals,NA,NE,NE,"Metal chaperone, involved in Zn homeostasis",10,124.3,66.2,-0.86,4970.1,2646.92,-58.1,0.2653,0.66473
MB0111c,Rv0107c,cell wall and cell processes,ctpI,NE,NE,PROBABLE CATION-TRANSPORTER ATPASE I CTPI,52,153.8,123.8,-0.3,31994.8,25756.77,-30,0.4809,0.82599
MB0112c,Rv0108c,conserved hypotheticals,NA,NE,NE,HYPOTHETICAL PROTEIN,2,336.1,6.8,-4.85,2688.4,54.48,-329.2,0.0584,0.40381
MB0113,Rv0109,PE/PPE,PE_PGRS1,NE,NE,pe-pgrs family protein pe_pgrs1,17,56.9,40.1,-0.46,3871,2724.86,-16.9,0.4526,0.81367
MB0114,Rv0110,cell wall and cell processes,NA,NE,NE,PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN,13,348.7,550.8,0.65,18130.1,28640.83,202.1,0.2468,0.6502
MB0115,Rv0111,intermediary metabolism and respiration,NA,NE,NE,POSSIBLE TRANSMEMBRANE ACYLTRANSFERASE,39,219.9,97,-1.14,34311.8,15127.67,-123,0.0465,0.37099
MB0116,Rv0112,cell wall and cell processes,gca,GD,NE,"POSSIBLE GDP-MANNOSE 4,6-DEHYDRATASE GCA (GDP-D-MANNOSE DEHYDRATASE)",29,46.4,65.4,0.45,5380.3,7583.11,19,0.6463,0.93722
MB0117,Rv0113,cell wall and cell processes,gmhA,GD,GD,probable sedoheptulose-7-phosphate isomerase gmha (phosphoheptose isomerase),11,0.1,0.6,0.14,2.5,24.73,0.5,1,1
MB0118,Rv0114,intermediary metabolism and respiration,gmhb,NE,NE,"possible d-alpha,beta-d-heptose-1,7-biphosphate phosphatase gmhb (d-glycero-d-manno-heptose 7-phosphate kinase)",9,136.5,363,1.38,4913.1,13069.45,226.6,0.0757,0.4503
MB0119,Rv0115,intermediary metabolism and respiration,hdda,NE,NE,possible d-alpha-d-heptose-7-phosphate kinase hdda,13,232.3,66.4,-1.73,12077.2,3452.15,-165.9,0.101,0.48741
MB0120c,Rv0116c,cell wall and cell processes,ldta,NE,NE,"probable l,d-transpeptidase ldta",17,176.2,125.2,-0.48,11982.9,8513.62,-51,0.3671,0.76033
MB0121,Rv0117,regulatory proteins,oxyS,NE,NE,OXIDATIVE STRESS RESPONSE REGULATORY PROTEIN OXYS,15,95.3,113.7,0.24,5719,6819.68,18.3,0.7613,1
MB0122c,Rv0118c,intermediary metabolism and respiration,oxcA,NE,NE,PROBABLE OXALYL-COA DECARBOXYLASE OXCA,23,53.3,28.9,-0.78,4902.8,2660.76,-24.4,0.215,0.63088
MB0123,Rv0119,lipid metabolism,fadD7,NE,GD,PROBABLE FATTY-ACID-COA LIGASE FADD7 (FATTY-ACID-COA SYNTHETASE) (FATTY-ACID-COA SYNTHASE),10,136.9,0.9,-4.58,5475.6,36.54,-136,0.1094,0.49265
MB0124c,Rv0120c,information pathways,fusA2b,NE,GD,PROBABLE ELONGATION FACTOR G FUSA2B [SECOND PART] (EF-G),23,50.7,4,-2.62,4661.7,372.37,-46.6,0.0031,0.1334
MB0125c,Rv0120c,information pathways,fusA2a,NE,GD,PROBABLE ELONGATION FACTOR G FUSA2A [FIRST PART] (EF-G),2,19.1,0.3,-2.18,152.6,2.48,-18.8,0.0142,0.23735
MB0126c,Rv0121c,conserved hypotheticals,NA,NE,GD,Pyridoxamine 5-phosphate oxidase,10,71.5,52,-0.42,2858.8,2080.23,-19.5,0.6271,0.92386
MB0127,Rv0122,conserved hypotheticals,NA,NE,NE,HYPOTHETICAL PROTEIN,9,14.6,15.4,0.06,525.1,554.23,0.8,0.9384,1
MB0128,Rv0123,conserved hypotheticals,NA,NE,NE,unknown protein,6,0.2,3,0.61,5.5,71.41,2.7,1,1
MB0129,Rv0124,PE/PPE,PE_PGRS2,NE,NE,pe-pgrs family protein pe_pgrs2,13,109.3,123.1,0.16,5683.8,6403.7,13.8,0.8365,1
MB0130,Rv0125,intermediary metabolism and respiration,pepA,NE,NE,probable serine protease pepa (serine proteinase) (mtb32a),10,213.6,189.4,-0.17,8544.6,7575.19,-24.2,0.8258,1
MB0131,Rv0126,"virulence, detoxification, adaptation",treS,NE,NE,TREHALOSE SYNTHASE TRES,31,235.1,113,-1.02,29153.2,14016.13,-122.1,0.0459,0.36765
MB0132,Rv0127,conserved hypotheticals,mak,NE,NE,maltokinase mak,29,28.6,118.4,1.88,3320.3,13739.43,89.8,0.006,0.16623
MB0133,Rv0128,cell wall and cell processes,NA,NE,NE,PROBABLE CONSERVED TRANSMEMBRANE PROTEIN,19,274.9,183.2,-0.57,20895,13923.14,-91.7,0.1696,0.58546
MB0134c,Rv0129c,lipid metabolism,fbpC,NE,NE,SECRETED ANTIGEN 85-C FBPC (85C) (ANTIGEN 85 COMPLEX C) (AG58C) (MYCOLYL TRANSFERASE 85C) (FIBRONECTIN-BINDING PROTEIN C),25,70.7,98.6,0.45,7071.4,9864.34,27.9,0.4106,0.78454
MB0135,Rv0130,intermediary metabolism and respiration,htdz,NE,NE,probable 3-hydroxyl-thioester dehydratase,4,39.5,143.8,1.74,631.5,2301.18,104.4,0.0712,0.44223
MB0136c,Rv0131c,lipid metabolism,fadE1,NE,NE,PROBABLE ACYL-CoA DEHYDROGENASE FADE1,18,105.4,41,-1.26,7586.6,2949,-64.4,0.234,0.64346
MB0137c,Rv0132c,intermediary metabolism and respiration,fgd2,NE,NE,putative f420-dependent glucose-6-phosphate dehydrogenase fgd2,14,156.2,96.7,-0.66,8744.7,5415.73,-59.4,0.2419,0.64752
MB0138,Rv0133,intermediary metabolism and respiration,NA,NE,NE,gcn5-related n-acetyltransferase,7,420.9,251.5,-0.73,11785.1,7041.1,-169.4,0.2577,0.65952
