ORF,Mtb_ortholog,functional_category,name,negative_call,positive_call,desc,sites,mean_ctrl,mean_exp,log2FC,sum_ctrl,sum_exp,delta_mean,pvalue,adj_pvalue
MB0013,Rv0013,intermediary metabolism and respiration,trpG,ES,ES,POSSIBLE ANTHRANILATE SYNTHASE COMPONENT II TRPG (GLUTAMINE AMIDOTRANSFERASE),12,49.1,0,-5.65,2357.5,0,-49.1,0.2482,0.81029
MB0014c,Rv0014c,regulatory proteins,pknB,ES,ES,TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE B PKNB (PROTEIN KINASE B) (STPK B),22,0,0,0,0,0,0,1,1
MB0015c,Rv0015c,regulatory proteins,pknA,ES,ES,TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE A PKNA (PROTEIN KINASE A) (STPK A),14,15.1,0,-3.98,847.3,1.29,-15.1,0.4929,0.93536
MB0016c,Rv0016c,cell wall and cell processes,pbpA,NE,NE,PROBABLE PENICILLIN-BINDING PROTEIN PBPA,33,74.2,75.3,0.02,9794.6,9942.13,1.1,0.9751,1
MB0017c,Rv0017c,cell wall and cell processes,rodA,NE,NE,PROBABLE CELL DIVISION PROTEIN RODA,26,108.3,119.8,0.14,11266.6,12461.02,11.5,0.8394,1
MB0018c,Rv0018c,regulatory proteins,pstp,NE,NE,phosphoserine/threonine phosphatase pstp,23,71.6,69,-0.05,6589.6,6344.49,-2.7,0.9468,1
MB0019c,Rv0019c,regulatory proteins,fhaB,NE,NE,FHA-domain-containing protein,14,29.6,51.8,0.79,1655,2901.03,22.3,0.3765,0.89217
MB0020c,Rv0020c,regulatory proteins,fhaA,ES,ES,FIG00824290: FHA domain protein,39,15.9,14.1,-0.16,2483.7,2205.47,-1.8,0.894,1
MB0021c,Rv0021c,conserved hypotheticals,NA,NE,NE,"putative oxidoreductase, nitronate monooxygenase family",20,275.3,215.7,-0.35,22025.1,17256.89,-59.6,0.5374,0.95509
MB0022c,Rv0022c,regulatory proteins,whiB5,NE,NE,probable transcriptional regulatory protein whib-like whib5,7,156.7,425.9,1.44,4387.4,11924.04,269.2,0.1794,0.76226
MB0023,Rv0023,regulatory proteins,NA,GD,NE,POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN,9,0,14.8,3.92,1.6,533.73,14.8,0.48,0.93536
MB0024,Rv0024,"virulence, detoxification, adaptation",NA,NE,NE,PUTATIVE SECRETED PROTEIN P60-RELATED PROTEIN [FIRST PART],10,255.8,186.4,-0.45,10230.7,7454.93,-69.4,0.6548,1
MB0025,NA,NA,NA,NE,NE,PUTATIVE SECRETED PROTEIN P60-RELATED PROTEIN [SECOND PART],2,283.3,503.9,0.83,2266.7,4031.22,220.6,0.6213,1
MB0026,Rv0025,conserved hypotheticals,NA,NE,NE,CONSERVED HYPOTHETICAL PROTEIN,7,66.3,42.3,-0.64,1856.2,1183.39,-24,0.4332,0.91647
MB0027,Rv0026,conserved hypotheticals,NA,NE,NE,CONSERVED HYPOTHETICAL PROTEIN,13,180.7,301.1,0.73,9394.3,15656.33,120.4,0.3076,0.85988
MB0028,Rv0027,conserved hypotheticals,NA,NE,NE,conserved hypothetical protein,5,135.3,311.3,1.2,2706.6,6226.16,176,0.2493,0.81029
MB0029,Rv0028,conserved hypotheticals,NA,NE,NE,conserved hypothetical protein,5,388.8,419,0.11,7776.8,8380.7,30.2,0.9017,1
MB0030,Rv0029,conserved hypotheticals,NA,NE,NE,Vegetative cell wall protein gp1 precursor,17,80.2,49.3,-0.69,5455.1,3350.86,-30.9,0.3174,0.86593
MB0031,Rv0030,conserved hypotheticals,NA,NE,NE,conserved hypothetical protein,5,69.5,54.1,-0.36,1389.7,1081.46,-15.4,0.732,1
MB0032,Rv0031,insertion seqs and phages,NA,NE,NE,possible remnant of a transposase,0,0,0,0,0,0,0,1,1
MB0033,Rv0032,intermediary metabolism and respiration,bioF2,NE,GD,POSSIBLE 8-AMINO-7-OXONONANOATE SYNTHASE BIOF2 (AONS) (8-AMINO-7-KETOPELARGONATE SYNTHASE) (7-KETO-8-AMINO-PELARGONIC ACID SYNTHETASE) (7-KAP SYNTHETASE) (L-ALANINE--PIMELYL CoA LIGASE),53,145.3,70.3,-1.04,30795.3,14906.34,-74.9,0.0519,0.56543
MB0034,Rv0033,lipid metabolism,acpA,NE,NE,PROBABLE ACYL CARRIER PROTEIN ACPA (ACP),3,168.8,104.1,-0.69,2026,1248.93,-64.8,0.4258,0.91439
MB0035,Rv0034,conserved hypotheticals,NA,NE,NE,Ketosteroid isomerase-related protein,4,527.8,191,-1.46,8445.2,3056.43,-336.8,0.404,0.91295
MB0036,Rv0035,lipid metabolism,fadD34,NE,NE,PROBABLE FATTY-ACID-COA LIGASE FADD34 (FATTY-ACID-COA SYNTHETASE) (FATTY-ACID-COA SYNTHASE),22,284.4,226.5,-0.33,25025.5,19936.17,-57.8,0.5544,0.9708
MB0037c,Rv0036c,conserved hypotheticals,NA,NE,NE,conserved protein,4,143,7.6,-4.07,2287.5,121.13,-135.4,0.0019,0.24792
MB0038c,Rv0037c,cell wall and cell processes,NA,NE,NE,PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN,18,190.3,315.5,0.73,13701.5,22717.65,125.2,0.3069,0.85963
MB0039,Rv0038,conserved hypotheticals,NA,NE,NE,UPF0301 protein YqgE,7,293.6,216.7,-0.44,8221.7,6066.96,-77,0.4938,0.93536
MB0040c,Rv0039c,cell wall and cell processes,NA,NE,NE,POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN,3,54.9,362.6,2.7,658.4,4351.03,307.7,0.1217,0.68467
MB0041c,Rv0040c,cell wall and cell processes,mtc28,NE,NE,SECRETED PROLINE RICH PROTEIN MTC28 (PROLINE RICH 28 KDA ANTIGEN),8,219.9,159,-0.47,7036.1,5087.35,-60.9,0.6346,1
MB0042,Rv0041,information pathways,leuS,ES,ES,PROBABLE LEUCYL-tRNA SYNTHETASE LEUS (LEUCINE--tRNA LIGASE) (LEURS),67,2,0,-1.57,526.2,0,-2,1,1
MB0043c,Rv0042c,regulatory proteins,NA,NE,NE,POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY MARR-FAMILY),5,28.2,130.5,2.17,563.2,2610.09,102.3,0.0713,0.62281
MB0044c,Rv0043c,regulatory proteins,NA,NE,NE,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY),10,127,77.8,-0.7,5079.2,3113.27,-49.1,0.4222,0.91434
MB0045c,Rv0044c,intermediary metabolism and respiration,NA,NE,NE,POSSIBLE OXIDOREDUCTASE,18,146.9,177.2,0.27,10574.1,12759.69,30.4,0.7372,1
MB0046c,Rv0045c,lipid metabolism,NA,NE,NE,POSSIBLE HYDROLASE,7,126.6,84.5,-0.58,3546.2,2364.99,-42.2,0.4681,0.93536
MB0047c,Rv0046c,intermediary metabolism and respiration,ino1,ES,ES,MYO-INOSITOL-1-PHOSPHATE SYNTHASE INO1 (Inositol 1-phosphate synthetase) (D-glucose 6-phosphate cycloaldolase) (Glucose 6-phosphate cyclase) (Glucocycloaldolase),14,0,0,0,0,0,0,1,1
MB0048c,Rv0047c,conserved hypotheticals,NA,NE,NE,"Transcriptional regulator, PadR family",7,212.5,299.8,0.49,5949.6,8394.66,87.3,0.7194,1
MB0049c,Rv0048c,cell wall and cell processes,NA,NE,NE,POSSIBLE MEMBRANE PROTEIN,15,171.4,287.7,0.74,10286.1,17262.01,116.3,0.3016,0.85369
MB0050,Rv0049,conserved hypotheticals,NA,NE,NE,CONSERVED HYPOTHETICAL PROTEIN,8,171.5,83.9,-1.02,5489.1,2686.14,-87.6,0.5823,0.98325
MB0051,Rv0050,cell wall and cell processes,ponA1,NE,NE,PROBABLE BIFUNCTIONAL PENICILLIN-BINDING PROTEIN 1A/1B PONA1 (MUREIN POLYMERASE) (PBP1): PENICILLIN-INSENSITIVE TRANSGLYCOSYLASE (PEPTIDOGLYCAN TGASE) + PENICILLIN-SENSITIVE TRANSPEPTIDASE (DD-TRANSPEPTIDASE),40,57.3,114.4,0.98,9167.3,18298.95,57.1,0.3794,0.89381
MB0052,Rv0051,cell wall and cell processes,NA,NE,NE,PROBABLE CONSERVED TRANSMEMBRANE PROTEIN,30,123.2,187.4,0.6,14783.4,22492.89,64.2,0.4756,0.93536
MB0053,Rv0052,conserved hypotheticals,NA,NE,NE,Intracellular protease,6,95,255.9,1.42,2280.9,6141.97,160.9,0.1051,0.66698
MB0054,Rv0053,information pathways,rpsF,NE,NE,30s ribosomal protein s6 rpsf,6,2.5,127.3,5.19,60.5,3054.96,124.8,0.478,0.93536
MB0055,Rv0054,information pathways,ssb,NE,NE,single-strand binding protein ssb (helix-destabilizing protein),4,6.6,0,-2.92,104.8,0,-6.6,1,1
MB0056,Rv0055,information pathways,rpsR1,NE,NE,30s ribosomal protein s18-1 rpsr1,4,232.6,0.1,-7.74,3721.5,1.46,-232.5,0.2327,0.80796
MB0057,Rv0056,information pathways,rplI,NE,NE,50s ribosomal protein l9 rpli,6,81.7,104.6,0.35,1961.1,2509.43,22.8,0.8051,1
MB0058,Rv0057,conserved hypotheticals,NA,NE,NE,HYPOTHETICAL PROTEIN,14,102.4,189.3,0.88,5735,10602.1,86.9,0.4976,0.93536
MB0059,Rv0058,information pathways,dnaB,ES,ES,PROBABLE REPLICATIVE DNA HELICASE DNAB,36,0,0,0,0,0,0,1,1
MB0060,Rv0059,conserved hypotheticals,NA,NE,NE,HYPOTHETICAL PROTEIN,20,291.2,360,0.3,23299.7,28800.49,68.8,0.6539,1
MB0061,Rv0060,conserved hypotheticals,NA,ES,ES,ADP-ribose 1-phosphate phophatase related protein,22,33.9,0,-5.12,2980,0,-33.9,0.2499,0.81029
MB0062A,Rv0061c,conserved hypotheticals,NA,NE,NE,Hypothetical protein,6,193.3,172.5,-0.16,4640.1,4140.85,-20.8,0.858,1
MB0063,Rv0062,intermediary metabolism and respiration,celA1,NE,NE,"POSSIBLE CELLULASE CELA1 (ENDOGLUCANASE) (ENDO-1,4-BETA-GLUCANASE) (FI-CMCASE) (CARBOXYMETHYL CELLULASE)",20,111.9,148.7,0.41,8953.6,11897.33,36.8,0.4003,0.91126
MB0064,Rv0063,intermediary metabolism and respiration,NA,NE,NE,POSSIBLE OXIDOREDUCTASE,21,210.4,108.6,-0.95,17675.2,9123.01,-101.8,0.3228,0.87261
MB0065,Rv0064,cell wall and cell processes,NA,NE,NE,PROBABLE CONSERVED TRANSMEMBRANE PROTEIN,63,119.1,53.8,-1.13,30015.9,13552.49,-65.3,0.0352,0.51402
MB0065A,Rv0064A,"virulence, detoxification, adaptation",vapB1,NE,NE,Possible antitoxin VapB1,5,674.6,161.1,-2.06,13491.7,3222.53,-513.5,0.1046,0.66653
MB0066,Rv0065,"virulence, detoxification, adaptation",vapc1,NE,NE,possible toxin vapc1,7,263.8,138.1,-0.93,7385.8,3865.93,-125.7,0.356,0.87962
MB0067c,Rv0066c,intermediary metabolism and respiration,icd2,NE,NE,PROBABLE ISOCITRATE DEHYDROGENASE [NADP] ICD2 (OXALOSUCCINATE DECARBOXYLASE) (IDH) (NADP+-SPECIFIC ICDH) (IDP),35,32.1,102.4,1.64,4494,14335.43,70.3,0.0013,0.17528
MB0068c,Rv0067c,regulatory proteins,NA,NE,NE,POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY),12,115.2,108.8,-0.08,5531,5222.65,-6.4,0.9225,1
MB0069,Rv0068,intermediary metabolism and respiration,NA,NE,NE,PROBABLE OXIDOREDUCTASE,11,160.5,259.9,0.69,7060.1,11436.79,99.5,0.4944,0.93536
MB0070c,Rv0069c,intermediary metabolism and respiration,sdaA,NE,NE,PROBABLE L-SERINE DEHYDRATASE SDAA (L-SERINE DEAMINASE) (SDH) (L-SD),12,26.6,88.9,1.7,1277.7,4267.76,62.3,0.0796,0.63134
MB0071c,Rv0070c,intermediary metabolism and respiration,glyA2,NE,NE,serine hydroxymethyltransferase glya2 (serine methylase 2) (shmt 2),14,128.4,158.1,0.3,7187.8,8855.15,29.8,0.7612,1
MB0072,Rv0071,information pathways,NA,NE,NE,POSSIBLE MATURASE,7,397.3,605.2,0.61,11125.2,16945.53,207.9,0.4636,0.93536
MB0073,Rv0072,cell wall and cell processes,NA,NE,NE,PROBABLE GLUTAMINE-TRANSPORT TRANSMEMBRANE PROTEIN ABC TRANSPORTER,14,517,577.2,0.16,28954.2,32321.75,60.1,0.8346,1
MB0074,Rv0073,cell wall and cell processes,NA,NE,NE,PROBABLE GLUTAMINE-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER GLNQ,12,354.7,390.8,0.14,17027.2,18756.58,36,0.79990000000000006,1
MB0075,Rv0073,cell wall and cell processes,NA,NE,NE,PROBABLE GLUTAMINE-TRANSPORT PROTEIN ABC TRANSPORTER GLNQ,2,600.7,359.3,-0.74,4805.6,2874.66,-241.4,0.5822,0.98325
MB0076,Rv0074,conserved hypotheticals,NA,NE,NE,Xaa-Pro dipeptidase (EC 3.4.13.9),17,101.5,263.8,1.37,6904.9,17939.44,162.3,0.0542,0.56671
MB0077,Rv0075,intermediary metabolism and respiration,NA,NE,NE,PROBABLE AMINOTRANSFERASE,20,304,323.2,0.09,24320.1,25853.65,19.2,0.8609,1
MB0078c,Rv0076c,cell wall and cell processes,NA,NE,NE,PROBABLE MEMBRANE PROTEIN,3,272.2,340.3,0.32,3266.7,4083.15,68,0.7969,1
MB0079c,Rv0077c,intermediary metabolism and respiration,NA,NE,NE,PROBABLE OXIDOREDUCTASE,12,177.3,180.6,0.03,8512.5,8669.07,3.3,0.9676,1
MB0080,Rv0078,regulatory proteins,NA,NE,NE,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN,8,65.8,18.8,-1.76,2107.1,601.42,-47.1,0.1745,0.75536
MB0081A,Rv0078B,conserved hypotheticals,NA,NE,NE,Conserved protein,2,241.9,148.4,-0.7,1935.4,1186.97,-93.6,0.5118,0.94279
MB0081c,Rv0078A,conserved hypotheticals,NA,NE,NE,HYPOTHETICAL PROTEIN,10,87.3,254.5,1.53,3493.2,10179.96,167.2,0.0344,0.50562
MB0082,Rv0079,conserved hypotheticals,NA,NE,NE,Ribosome hibernation promoting factor Hpf,13,149.6,89.3,-0.74,7777.4,4642.41,-60.3,0.3315,0.87261
MB0083,Rv0080,conserved hypotheticals,NA,NE,NE,Putative DNA-binding protein,4,106.1,374.9,1.81,1697.9,5998.6,268.8,0.3226,0.87261
MB0084,Rv0081,regulatory proteins,NA,NE,NE,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN,4,771.9,174.7,-2.14,12350.8,2794.78,-597.3,0.2221,0.79792
MB0085,Rv0082,intermediary metabolism and respiration,NA,NE,NE,PROBABLE OXIDOREDUCTASE,6,38,52,0.44,913.1,1247.42,13.9,0.7297,1
MB0086,Rv0083,intermediary metabolism and respiration,NA,NE,NE,PROBABLE OXIDOREDUCTASE,21,181.3,106.5,-0.76,15225.2,8948.05,-74.7,0.1394,0.72107
MB0087,Rv0084,intermediary metabolism and respiration,hycD,NE,NE,POSSIBLE FORMATE HYDROGENLYASE HYCD (FHL),8,48.7,66.7,0.45,1557.5,2134.89,18,0.612,1
MB0088,Rv0085,intermediary metabolism and respiration,hycP,NE,NE,POSSIBLE HYDROGENASE HYCP,4,21.1,2.5,-2.65,338.2,40.34,-18.6,0.4619,0.93536
MB0089,Rv0086,intermediary metabolism and respiration,hycQ,NE,NE,POSSIBLE HYDROGENASE HYCQ,12,91.2,46.4,-0.96,4377.1,2224.82,-44.8,0.2496,0.81029
MB0090,Rv0087,intermediary metabolism and respiration,hycE,NE,GD,possible formate hydrogenase hyce (fhl),21,67.2,10.2,-2.61,5641,856.31,-57,0.0194,0.43596
MB0091,Rv0088,lipid metabolism,NA,NE,GD,possible polyketide cyclase/dehydrase,14,162.7,0.6,-6.69,9112,32.68,-162.1,5e-4,0.12641
MB0092,Rv0089,intermediary metabolism and respiration,NA,NE,NE,POSSIBLE METHYLTRANSFERASE/METHYLASE,9,213.1,96.7,-1.13,7673.2,3482.43,-116.4,0.411,0.91333
MB0093,Rv0090,cell wall and cell processes,NA,NE,NE,POSSIBLE MEMBRANE PROTEIN,12,202.5,90.8,-1.15,9721.9,4360.37,-111.7,0.0728,0.62281
MB0094,Rv0091,intermediary metabolism and respiration,mtn,NE,NE,probable bifunctional mta/sah nucleosidase mtn: 5'-methylthioadenosine nucleosidase (methylthioadenosine methylthioribohydrolase) + s-adenosylhomocysteine nucleosidase (s-adenosyl-l-homocysteine homocysteinylribohydrolase),8,530.9,296.6,-0.84,16988.3,9490.9,-234.3,0.2963,0.85045
MB0095,Rv0092,cell wall and cell processes,ctpA,NE,NE,cation transporter p-type atpase a ctpa,27,157.3,500.1,1.66,16993.4,54008.95,342.7,0.0443,0.53772
MB0096c,Rv0093c,cell wall and cell processes,NA,NE,NE,PROBABLE CONSERVED MEMBRANE PROTEIN,7,131.2,48.5,-1.42,3672.8,1357.98,-82.7,0.3228,0.87261
MB0097c,Rv0094c,insertion seqs and phages,NA,NE,NE,13E12 repeat family protein,8,219.4,53.7,-2.01,7022.2,1719.93,-165.7,0.008,0.36405
MB0098c,Rv1588c,insertion seqs and phages,NA,NE,NE,CONSERVED HYPOTHETICAL PROTEIN,16,62.3,23.6,-1.36,3987.2,1510.55,-38.7,0.0478,0.54465
MB0099,Rv0096,PE/PPE,PPE1,NE,NE,ppe family protein ppe1,32,191.6,155.8,-0.3,24519,19944.32,-35.7,0.513,0.94279
MB0100,Rv0097,intermediary metabolism and respiration,NA,NE,NE,POSSIBLE OXIDOREDUCTASE,25,129.5,175.8,0.44,12955,17583.43,46.3,0.5402,0.95754
MB0101,Rv0098,lipid metabolism,fcot,NE,NE,probable fatty acyl coa thioesterase type iii fcot,11,39,115.1,1.54,1717.3,5065.38,76.1,0.7851,1
MB0102,Rv0099,lipid metabolism,fadD10,NE,NE,POSSIBLE FATTY-ACID-COA LIGASE FADD10 (FATTY-ACID-COA SYNTHETASE) (FATTY-ACID-COA SYNTHASE),29,12,18.5,0.58,1395.7,2146.51,6.5,0.3597,0.88077
MB0103,Rv0100,conserved hypotheticals,NA,NE,NE,pp-binding family protein Rv0100,3,139,399.4,1.52,1668.5,4793.07,260.4,0.3479,0.87612
MB0104,Rv0101,lipid metabolism,nrp,NE,NE,PROBABLE PEPTIDE SYNTHETASE NRP (PEPTIDE SYNTHASE),104,104.5,77.8,-0.42,43470.1,32377.9,-26.7,0.2987,0.85207
MB0105,Rv0102,cell wall and cell processes,NA,ES,ES,PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN,37,0,9.3,3.37,0,1383.51,9.3,0.4952,0.93536
MB0106c,Rv0103c,cell wall and cell processes,ctpB,NE,NE,PROBABLE CATION-TRANSPORTER P-TYPE ATPASE B CTPB,28,142.5,171.2,0.26,15964.3,19179.14,28.7,0.6791,1
MB0107,Rv0104,conserved hypotheticals,NA,NE,NE,cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases,23,263.3,410.5,0.64,24219.2,37769.2,147.3,0.1404,0.72196
MB0108c,Rv0105c,information pathways,rpmB1,NE,NE,50s ribosomal protein l28-1 rpmb1,5,63.1,54.7,-0.2,1261.9,1094.25,-8.4,0.8438,1
MB0109,Rv0106,conserved hypotheticals,NA,NE,NE,"Metal chaperone, involved in Zn homeostasis",10,140.1,69,-1.01,5602.1,2758.34,-71.1,0.2674,0.82947
MB0111c,Rv0107c,cell wall and cell processes,ctpI,NE,NE,PROBABLE CATION-TRANSPORTER ATPASE I CTPI,52,169.2,124,-0.45,35187,25792.43,-45.2,0.4146,0.91333
MB0112c,Rv0108c,conserved hypotheticals,NA,NE,NE,HYPOTHETICAL PROTEIN,2,548.1,6.8,-6.14,4385.2,54.48,-541.3,0.057,0.57641
MB0113,Rv0109,PE/PPE,PE_PGRS1,NE,NE,pe-pgrs family protein pe_pgrs1,17,59.3,48.8,-0.28,4032.5,3317.19,-10.5,0.7304,1
MB0114,Rv0110,cell wall and cell processes,NA,NE,NE,PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN,13,363.1,552.9,0.61,18883.1,28750.41,189.8,0.2848,0.84212
MB0115,Rv0111,intermediary metabolism and respiration,NA,NE,NE,POSSIBLE TRANSMEMBRANE ACYLTRANSFERASE,39,243.1,99.4,-1.28,37928.3,15506.62,-143.7,0.0545,0.56671
MB0116,Rv0112,cell wall and cell processes,gca,GD,NE,"POSSIBLE GDP-MANNOSE 4,6-DEHYDRATASE GCA (GDP-D-MANNOSE DEHYDRATASE)",29,46.9,72.7,0.62,5443,8432.96,25.8,0.5738,0.98202
MB0117,Rv0113,cell wall and cell processes,gmhA,GD,GD,probable sedoheptulose-7-phosphate isomerase gmha (phosphoheptose isomerase),11,1.2,0.6,-0.5,53.3,24.73,-0.7,0.7455,1
MB0118,Rv0114,intermediary metabolism and respiration,gmhb,NE,NE,"possible d-alpha,beta-d-heptose-1,7-biphosphate phosphatase gmhb (d-glycero-d-manno-heptose 7-phosphate kinase)",9,140.3,377.4,1.42,5050.7,13585.81,237.1,0.0802,0.63361
MB0119,Rv0115,intermediary metabolism and respiration,hdda,NE,NE,possible d-alpha-d-heptose-7-phosphate kinase hdda,13,235.5,98.5,-1.25,12244.7,5124.44,-136.9,0.2116,0.79696
MB0120c,Rv0116c,cell wall and cell processes,ldta,NE,NE,"probable l,d-transpeptidase ldta",17,192.8,136.1,-0.5,13111.8,9253.58,-56.7,0.4194,0.91333
MB0121,Rv0117,regulatory proteins,oxyS,NE,NE,OXIDATIVE STRESS RESPONSE REGULATORY PROTEIN OXYS,15,120.9,115.1,-0.07,7253.6,6908.76,-5.7,0.9413,1
MB0122c,Rv0118c,intermediary metabolism and respiration,oxcA,NE,NE,PROBABLE OXALYL-COA DECARBOXYLASE OXCA,23,54.8,30.5,-0.82,5041.7,2807.72,-24.3,0.25,0.81029
MB0123,Rv0119,lipid metabolism,fadD7,NE,GD,PROBABLE FATTY-ACID-COA LIGASE FADD7 (FATTY-ACID-COA SYNTHETASE) (FATTY-ACID-COA SYNTHASE),10,174.6,1.1,-6.38,6984,44.42,-173.5,0.1316,0.70188
MB0124c,Rv0120c,information pathways,fusA2b,NE,GD,PROBABLE ELONGATION FACTOR G FUSA2B [SECOND PART] (EF-G),23,55.9,4.3,-3.43,5146.1,393.43,-51.7,0.0046,0.29535
MB0125c,Rv0120c,information pathways,fusA2a,NE,GD,PROBABLE ELONGATION FACTOR G FUSA2A [FIRST PART] (EF-G),2,527,0.3,-8.66,4216,2.48,-526.7,0.0153,0.40716
MB0126c,Rv0121c,conserved hypotheticals,NA,NE,GD,Pyridoxamine 5-phosphate oxidase,10,76.8,73.7,-0.06,3071.4,2949.72,-3,0.9597,1
MB0127,Rv0122,conserved hypotheticals,NA,NE,NE,HYPOTHETICAL PROTEIN,9,19.7,23.2,0.23,708.2,836.44,3.6,0.8503,1
MB0128,Rv0123,conserved hypotheticals,NA,NE,NE,unknown protein,6,0.2,3,1.69,5.6,71.41,2.7,1,1
MB0129,Rv0124,PE/PPE,PE_PGRS2,NE,NE,pe-pgrs family protein pe_pgrs2,13,121.5,128.4,0.08,6316.5,6679.39,7,0.9272,1
MB0130,Rv0125,intermediary metabolism and respiration,pepA,NE,NE,probable serine protease pepa (serine proteinase) (mtb32a),10,250,189.5,-0.4,10001.2,7578.92,-60.6,0.6608,1
MB0131,Rv0126,"virulence, detoxification, adaptation",treS,NE,NE,TREHALOSE SYNTHASE TRES,31,239.9,113.2,-1.08,29747.3,14035.34,-126.7,0.0443,0.53772
MB0132,Rv0127,conserved hypotheticals,mak,NE,NE,maltokinase mak,29,32.7,130.7,1.97,3791.5,15166.49,98.1,0.0123,0.38272
MB0133,Rv0128,cell wall and cell processes,NA,NE,NE,PROBABLE CONSERVED TRANSMEMBRANE PROTEIN,19,277.8,191.9,-0.53,21116.3,14582.53,-86,0.2154,0.79792
MB0134c,Rv0129c,lipid metabolism,fbpC,NE,NE,SECRETED ANTIGEN 85-C FBPC (85C) (ANTIGEN 85 COMPLEX C) (AG58C) (MYCOLYL TRANSFERASE 85C) (FIBRONECTIN-BINDING PROTEIN C),25,74.6,100.2,0.42,7459.1,10024.27,25.7,0.4784,0.93536
MB0135,Rv0130,intermediary metabolism and respiration,htdz,NE,NE,probable 3-hydroxyl-thioester dehydratase,4,99.5,164.3,0.72,1592.8,2628.04,64.7,0.5245,0.94841
MB0136c,Rv0131c,lipid metabolism,fadE1,NE,NE,PROBABLE ACYL-CoA DEHYDROGENASE FADE1,18,112.9,41.9,-1.41,8131.3,3014.18,-71.1,0.2401,0.81029
MB0137c,Rv0132c,intermediary metabolism and respiration,fgd2,NE,NE,putative f420-dependent glucose-6-phosphate dehydrogenase fgd2,14,160.3,124.8,-0.36,8974.7,6990.33,-35.4,0.6032,0.9959
MB0138,Rv0133,intermediary metabolism and respiration,NA,NE,NE,gcn5-related n-acetyltransferase,7,534,272.5,-0.97,14951.5,7629.43,-261.5,0.2836,0.84037
