#utest
#Console: python3 /Users/jenniferstiens/anaconda3/envs/python38/bin/transit utest output/permissive_wigs/perm_B1_insertions.wig,output/permissive_wigs/perm_D1_insertions.wig,output/permissive_wigs/perm_B2_insertions.wig,output/permissive_wigs/perm_D2_insertions.wig output/permissive_wigs/perm_A1_insertions.wig,output/permissive_wigs/perm_C1_insertions.wig,output/permissive_wigs/perm_A2_insertions.wig,output/permissive_wigs/perm_C2_insertions.wig ref_seqs/Mbovis_LT708304.prot_table output/utest_all_perm_ttr.tsv -n TTR
#Control Data: b'output/permissive_wigs/perm_B1_insertions.wig,output/permissive_wigs/perm_D1_insertions.wig,output/permissive_wigs/perm_B2_insertions.wig,output/permissive_wigs/perm_D2_insertions.wig'
#Experimental Data: b'output/permissive_wigs/perm_A1_insertions.wig,output/permissive_wigs/perm_C1_insertions.wig,output/permissive_wigs/perm_A2_insertions.wig,output/permissive_wigs/perm_C2_insertions.wig'
#Annotation path: b'ref_seqs/Mbovis_LT708304.prot_table'
#Time: 8.193161964416504
#Orf	Name	Desc	Sites	Mean Ctrl	Mean Exp	log2FC	U-Statistic	p-value	Adj. p-value
GLNU	NA	tRNA-Gln	4	0.0	0.0	0.00	0.00	1.00000	1.00000
GLUT	NA	tRNA-Glu	2	0.0	0.0	0.00	0.00	1.00000	1.00000
GLUU	NA	tRNA-Glu	2	0.0	0.0	0.00	0.00	1.00000	1.00000
GLYT	NA	tRNA-Gly	2	0.0	0.0	0.00	0.00	1.00000	1.00000
GLYU	NA	tRNA-Gly	2	443.7	53.6	-3.05	15.00	0.05714	0.29726
GLYV	NA	tRNA-Gly	4	0.0	14.4	3.95	24.00	0.17090	0.50325
HIST	NA	tRNA-His	2	0.0	0.0	0.00	0.00	1.00000	1.00000
ILET	NA	tRNA-Ile	5	0.0	0.0	0.00	0.00	1.00000	1.00000
LEUT	NA	tRNA-Leu	0	0.0	0.0	0.00	0.00	1.00000	1.00000
LEUU	NA	tRNA-Leu	4	0.0	0.0	0.00	0.00	1.00000	1.00000
LEUV	NA	tRNA-Leu	1	0.0	0.0	0.00	0.00	1.00000	1.00000
LEUW	NA	tRNA-Leu	1	0.0	0.0	0.00	0.00	1.00000	1.00000
LEUX	NA	tRNA-Leu	3	71.4	0.0	-6.18	10.00	0.45325	0.77196
LYST	NA	tRNA-Lys	5	0.0	0.0	0.00	0.00	1.00000	1.00000
LYSU	NA	tRNA-Lys	3	0.0	0.0	0.00	0.00	1.00000	1.00000
MB0001	dnaA	CHROMOSOMAL REPLICATION INITIATOR PROTEIN DNAA	28	0.0	0.0	0.00	0.00	1.00000	1.00000
MB0002	dnaN	DNA POLYMERASE III (BETA CHAIN) DNAN (DNA NUCLEOTIDYLTRANSFERASE)	27	0.0	6.0	2.80	6.00	0.45325	0.77196
MB0003	recF	DNA REPLICATION AND REPAIR PROTEIN RECF (SINGLE-STRAND DNA BINDING PROTEIN)	32	106.9	108.9	0.03	4588.50	0.01394	0.15406
MB0004	NA	Zn-ribbon-containing, possibly RNA-binding protein and truncated derivatives	8	0.0	0.0	0.00	0.00	1.00000	1.00000
MB0005	gyrB	DNA GYRASE (SUBUNIT B) GYRB (DNA TOPOISOMERASE (ATP-HYDROLYSING)) (DNA TOPOISOMERASE II) (TYPE II DNA TOPOISOMERASE)	39	0.0	18.4	4.28	6.00	0.45325	0.77196
MB0006	gyrA	DNA GYRASE (SUBUNIT A) GYRA (DNA TOPOISOMERASE (ATP-HYDROLYSING)) (DNA TOPOISOMERASE II) (TYPE II DNA TOPOISOMERASE)	44	0.0	0.0	0.00	0.00	1.00000	1.00000
MB0007	NA	POSSIBLE CONSERVED MEMBRANE PROTEIN	10	56.7	21.3	-1.41	274.00	0.72884	0.97639
MB0008c	NA	POSSIBLE MEMBRANE PROTEIN	3	46.2	82.2	0.83	31.00	0.94500	1.00000
MB0009	ppiA	PROBABLE IRON-REGULATED PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A PPIA (PPIase A) (ROTAMASE A)	6	201.3	61.3	-1.71	383.00	0.04783	0.27614
MB0010c	NA	PROBABLE CONSERVED MEMBRANE PROTEIN	7	108.4	235.7	1.12	191.00	0.80586	1.00000
MB0011c	NA	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN	3	0.0	11.2	3.60	6.00	0.45325	0.77196
MB0012	NA	PROBABLE CONSERVED MEMBRANE PROTEIN	13	224.2	127.8	-0.81	1539.00	0.19844	0.53194
MB0013	trpG	POSSIBLE ANTHRANILATE SYNTHASE COMPONENT II TRPG (GLUTAMINE AMIDOTRANSFERASE)	12	589.4	0.0	-9.21	14.00	0.06892	0.32340
MB0014c	pknB	TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE B PKNB (PROTEIN KINASE B) (STPK B)	22	0.0	0.0	0.00	0.00	1.00000	1.00000
MB0015c	pknA	TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE A PKNA (PROTEIN KINASE A) (STPK A)	14	211.8	0.3	-9.36	11.00	0.40835	0.75481
MB0016c	pbpA	PROBABLE PENICILLIN-BINDING PROTEIN PBPA	33	84.4	85.7	0.02	7677.50	0.01969	0.17758
MB0017c	rodA	PROBABLE CELL DIVISION PROTEIN RODA	26	128.0	141.6	0.15	4515.50	0.03526	0.24129
MB0018c	pstp	phosphoserine/threonine phosphatase pstp	23	137.3	132.2	-0.05	1249.50	0.44307	0.77196
MB0019c	fhaB	FHA-domain-containing protein	14	31.8	55.8	0.81	1367.00	0.90508	1.00000
MB0020c	fhaA	FIG00824290: FHA domain protein	39	103.5	91.9	-0.17	356.00	0.10350	0.39607
MB0021c	NA	putative oxidoreductase, nitronate monooxygenase family	20	344.1	269.6	-0.35	2471.50	0.03226	0.23009
MB0022c	whiB5	probable transcriptional regulatory protein whib-like whib5	7	182.8	496.8	1.44	268.00	0.68466	0.94970
MB0023	NA	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN	9	0.2	66.7	8.38	27.00	0.48814	0.79933
MB0024	NA	PUTATIVE SECRETED PROTEIN P60-RELATED PROTEIN [FIRST PART]	10	255.8	186.4	-0.46	954.00	0.10804	0.40737
MB0025	NA	PUTATIVE SECRETED PROTEIN P60-RELATED PROTEIN [SECOND PART]	2	283.3	503.9	0.83	33.50	0.91413	1.00000
MB0026	NA	CONSERVED HYPOTHETICAL PROTEIN	7	77.3	49.3	-0.65	320.50	0.48061	0.79704
MB0027	NA	CONSERVED HYPOTHETICAL PROTEIN	13	195.7	326.2	0.74	1164.00	0.93144	1.00000
MB0028	NA	conserved hypothetical protein	5	135.3	311.3	1.20	161.00	0.27045	0.62123
MB0029	NA	conserved hypothetical protein	5	486.0	523.8	0.11	142.00	0.60691	0.89368
MB0030	NA	Vegetative cell wall protein gp1 precursor	17	85.2	52.4	-0.70	2396.00	0.06255	0.31050
MB0031	NA	conserved hypothetical protein	5	86.9	67.6	-0.36	141.00	0.62267	0.90665
MB0032	NA	possible remnant of a transposase	0	0.0	0.0	0.00	0.00	1.00000	1.00000
MB0033	bioF2	POSSIBLE 8-AMINO-7-OXONONANOATE SYNTHASE BIOF2 (AONS) (8-AMINO-7-KETOPELARGONATE SYNTHASE) (7-KETO-8-AMINO-PELARGONIC ACID SYNTHETASE) (7-KAP SYNTHETASE) (L-ALANINE--PIMELYL CoA LIGASE)	53	197.4	95.6	-1.05	14421.00	0.00212	0.06498
MB0034	acpA	PROBABLE ACYL CARRIER PROTEIN ACPA (ACP)	3	168.8	104.1	-0.70	85.00	0.46708	0.78428
MB0035	NA	Ketosteroid isomerase-related protein	4	527.8	191.0	-1.47	146.00	0.49088	0.80149
MB0036	fadD34	PROBABLE FATTY-ACID-COA LIGASE FADD34 (FATTY-ACID-COA SYNTHETASE) (FATTY-ACID-COA SYNTHASE)	22	312.8	249.2	-0.33	3748.50	0.05752	0.29726
MB0037c	NA	conserved protein	4	143.0	7.6	-4.24	178.00	0.04307	0.26279
MB0038c	NA	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN	18	214.1	355.0	0.73	2048.00	1.00000	1.00000
MB0039	NA	UPF0301 protein YqgE	7	293.6	216.7	-0.44	413.50	0.72467	0.97486
MB0040c	NA	POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN	3	54.9	362.6	2.72	71.00	0.97668	1.00000
MB0041c	mtc28	SECRETED PROLINE RICH PROTEIN MTC28 (PROLINE RICH 28 KDA ANTIGEN)	8	219.9	159.0	-0.47	599.50	0.23303	0.57016
MB0042	leuS	PROBABLE LEUCYL-tRNA SYNTHETASE LEUS (LEUCINE--tRNA LIGASE) (LEURS)	67	131.6	0.0	-7.05	10.00	0.45325	0.77196
MB0043c	NA	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY MARR-FAMILY)	5	28.2	130.5	2.21	190.00	0.76759	1.00000
MB0044c	NA	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY)	10	127.0	77.8	-0.71	908.00	0.25039	0.59404
MB0045c	NA	POSSIBLE OXIDOREDUCTASE	18	165.2	199.4	0.27	2324.00	0.14185	0.46281
MB0046c	NA	POSSIBLE HYDROLASE	7	126.6	84.5	-0.58	492.50	0.08779	0.36154
MB0047c	ino1	MYO-INOSITOL-1-PHOSPHATE SYNTHASE INO1 (Inositol 1-phosphate synthetase) (D-glucose 6-phosphate cycloaldolase) (Glucose 6-phosphate cyclase) (Glucocycloaldolase)	14	0.0	0.0	0.00	0.00	1.00000	1.00000
MB0048c	NA	Transcriptional regulator, PadR family	7	247.9	349.8	0.50	351.00	0.17823	0.51204
MB0049c	NA	POSSIBLE MEMBRANE PROTEIN	15	214.3	359.6	0.75	1183.00	0.81750	1.00000
MB0050	NA	CONSERVED HYPOTHETICAL PROTEIN	8	171.5	83.9	-1.03	534.50	0.74458	0.98703
MB0051	ponA1	PROBABLE BIFUNCTIONAL PENICILLIN-BINDING PROTEIN 1A/1B PONA1 (MUREIN POLYMERASE) (PBP1): PENICILLIN-INSENSITIVE TRANSGLYCOSYLASE (PEPTIDOGLYCAN TGASE) + PENICILLIN-SENSITIVE TRANSPEPTIDASE (DD-TRANSPEPTIDASE)	40	91.7	183.0	1.00	5486.00	0.15194	0.47718
MB0052	NA	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN	30	154.0	234.3	0.61	4557.00	0.88497	1.00000
MB0053	NA	Intracellular protease	6	95.0	255.9	1.43	271.00	0.72971	0.97705
MB0054	rpsF	30s ribosomal protein s6 rpsf	6	15.1	763.7	5.66	5.00	0.40835	0.75481
MB0055	ssb	single-strand binding protein ssb (helix-destabilizing protein)	4	26.2	0.0	-4.77	10.00	0.45325	0.77196
MB0056	rpsR1	30s ribosomal protein s18-1 rpsr1	4	930.4	0.4	-11.31	13.50	0.12409	0.43161
MB0057	rplI	50s ribosomal protein l9 rpli	6	98.1	125.5	0.36	252.00	0.10914	0.40824
MB0058	NA	HYPOTHETICAL PROTEIN	14	130.3	241.0	0.89	1168.50	0.05699	0.29726
MB0059	dnaB	PROBABLE REPLICATIVE DNA HELICASE DNAB	36	0.0	0.0	0.00	0.00	1.00000	1.00000
MB0060	NA	HYPOTHETICAL PROTEIN	20	323.6	400.0	0.31	2766.50	0.47866	0.79482
MB0061	NA	ADP-ribose 1-phosphate phophatase related protein	22	745.0	0.0	-9.54	14.00	0.06892	0.32340
MB0062A	NA	Hypothetical protein	6	232.0	207.0	-0.16	160.50	0.25947	0.60764
MB0063	celA1	POSSIBLE CELLULASE CELA1 (ENDOGLUCANASE) (ENDO-1,4-BETA-GLUCANASE) (FI-CMCASE) (CARBOXYMETHYL CELLULASE)	20	117.8	156.5	0.41	3336.50	0.08223	0.35159
MB0064	NA	POSSIBLE OXIDOREDUCTASE	21	220.9	114.0	-0.95	3907.00	0.00892	0.12928
MB0065	NA	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN	63	183.0	82.6	-1.15	15123.00	0.03043	0.22122
MB0065A	vapB1	Possible antitoxin VapB1	5	843.2	201.4	-2.07	167.00	0.13856	0.45677
MB0066	vapc1	possible toxin vapc1	7	307.7	161.1	-0.93	348.00	0.20527	0.53817
MB0067c	icd2	PROBABLE ISOCITRATE DEHYDROGENASE [NADP] ICD2 (OXALOSUCCINATE DECARBOXYLASE) (IDH) (NADP+-SPECIFIC ICDH) (IDP)	35	41.6	132.7	1.67	5695.00	0.73839	0.98391
MB0068c	NA	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY)	12	125.7	118.7	-0.08	907.00	0.58343	0.87647
MB0069	NA	PROBABLE OXIDOREDUCTASE	11	252.1	408.5	0.70	376.50	0.79789	1.00000
MB0070c	sdaA	PROBABLE L-SERINE DEHYDRATASE SDAA (L-SERINE DEAMINASE) (SDH) (L-SD)	12	35.5	118.5	1.74	597.00	0.52147	0.82914
MB0071c	glyA2	serine hydroxymethyltransferase glya2 (serine methylase 2) (shmt 2)	14	138.2	170.3	0.30	1562.00	0.13619	0.45306
MB0072	NA	POSSIBLE MATURASE	7	397.3	605.2	0.61	324.00	0.25160	0.59585
MB0073	NA	PROBABLE GLUTAMINE-TRANSPORT TRANSMEMBRANE PROTEIN ABC TRANSPORTER	14	517.0	577.2	0.16	1857.50	0.08271	0.35283
MB0074	NA	PROBABLE GLUTAMINE-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER GLNQ	12	387.0	426.3	0.14	1145.00	0.13620	0.45306
MB0075	NA	PROBABLE GLUTAMINE-TRANSPORT PROTEIN ABC TRANSPORTER GLNQ	2	600.7	359.3	-0.74	33.00	0.95797	1.00000
MB0076	NA	Xaa-Pro dipeptidase (EC 3.4.13.9)	17	107.9	280.3	1.38	1757.50	0.13956	0.45850
MB0077	NA	PROBABLE AMINOTRANSFERASE	20	337.8	359.1	0.09	2674.00	0.73833	0.98391
MB0078c	NA	PROBABLE MEMBRANE PROTEIN	3	272.2	340.3	0.32	95.00	0.18846	0.52036
MB0079c	NA	PROBABLE OXIDOREDUCTASE	12	193.5	197.0	0.03	980.50	0.91861	1.00000
MB0080	NA	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN	8	87.8	25.1	-1.81	383.50	0.03270	0.23009
MB0081A	NA	Conserved protein	2	241.9	148.4	-0.71	42.00	0.31484	0.66677
MB0081c	NA	HYPOTHETICAL PROTEIN	10	87.3	254.5	1.54	815.00	0.88204	1.00000
MB0082	NA	Ribosome hibernation promoting factor Hpf	13	162.0	96.7	-0.74	1323.00	0.17969	0.51469
MB0083	NA	Putative DNA-binding protein	4	141.5	499.9	1.82	70.50	0.95310	1.00000
MB0084	NA	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN	4	771.9	174.7	-2.14	178.50	0.05755	0.29726
MB0085	NA	PROBABLE OXIDOREDUCTASE	6	45.7	62.4	0.45	210.00	0.76759	1.00000
MB0086	NA	PROBABLE OXIDOREDUCTASE	21	190.3	111.9	-0.77	3720.00	0.06122	0.30726
MB0087	hycD	POSSIBLE FORMATE HYDROGENLYASE HYCD (FHL)	8	48.7	66.7	0.45	562.00	0.44991	0.77196
MB0088	hycP	POSSIBLE HYDROGENASE HYCP	4	28.2	3.4	-3.07	83.00	0.42551	0.77190
MB0089	hycQ	POSSIBLE HYDROGENASE HYCQ	12	156.3	79.5	-0.98	371.00	0.72489	0.97486
MB0090	hycE	possible formate hydrogenase hyce (fhl)	21	156.7	23.8	-2.72	876.00	0.00226	0.06593
MB0091	NA	possible polyketide cyclase/dehydrase	14	325.4	1.2	-8.12	553.00	0.00152	0.05302
MB0092	NA	POSSIBLE METHYLTRANSFERASE/METHYLASE	9	213.1	96.7	-1.14	712.00	0.43208	0.77196
MB0093	NA	POSSIBLE MEMBRANE PROTEIN	12	221.0	99.1	-1.16	1200.00	0.04596	0.27143
MB0094	mtn	probable bifunctional mta/sah nucleosidase mtn: 5'-methylthioadenosine nucleosidase (methylthioadenosine methylthioribohydrolase) + s-adenosylhomocysteine nucleosidase (s-adenosyl-l-homocysteine homocysteinylribohydrolase)	8	707.8	395.5	-0.84	302.00	0.78003	1.00000
MB0095	ctpA	cation transporter p-type atpase a ctpa	27	223.6	710.6	1.67	3308.00	0.10806	0.40737
MB0096c	NA	PROBABLE CONSERVED MEMBRANE PROTEIN	7	131.2	48.5	-1.44	514.50	0.02978	0.22066
MB0097c	NA	13E12 repeat family protein	8	250.8	61.4	-2.03	593.00	0.00093	0.04218
MB0098c	NA	CONSERVED HYPOTHETICAL PROTEIN	16	99.7	37.8	-1.40	1021.00	0.02097	0.18214
MB0099	PPE1	ppe family protein ppe1	32	245.2	199.4	-0.30	5578.00	0.13749	0.45550
MB0100	NA	POSSIBLE OXIDOREDUCTASE	25	154.2	209.3	0.44	3828.50	0.30089	0.65507
MB0101	fcot	probable fatty acyl coa thioesterase type iii fcot	11	61.3	180.9	1.56	397.00	0.93551	1.00000
MB0102	fadD10	POSSIBLE FATTY-ACID-COA LIGASE FADD10 (FATTY-ACID-COA SYNTHETASE) (FATTY-ACID-COA SYNTHASE)	29	20.5	31.6	0.62	2314.00	0.99358	1.00000
MB0103	NA	pp-binding family protein Rv0100	3	139.0	399.4	1.52	79.00	0.69312	0.95623
MB0104	nrp	PROBABLE PEPTIDE SYNTHETASE NRP (PEPTIDE SYNTHASE)	104	139.3	103.8	-0.43	56427.00	0.00015	0.01963
MB0105	NA	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN	37	0.0	345.9	8.44	4.00	0.18588	0.51604
MB0106c	ctpB	PROBABLE CATION-TRANSPORTER P-TYPE ATPASE B CTPB	28	190.1	228.3	0.26	4072.00	0.06915	0.32410
MB0107	NA	cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases	23	275.2	429.2	0.64	3982.00	0.74291	0.98703
MB0108c	rpmB1	50s ribosomal protein l28-1 rpmb1	5	105.2	91.2	-0.21	86.00	0.41244	0.75971
MB0109	NA	Metal chaperone, involved in Zn homeostasis	10	140.1	69.0	-1.02	908.50	0.24054	0.58262
MB0111c	ctpI	PROBABLE CATION-TRANSPORTER ATPASE I CTPI	52	195.5	143.3	-0.45	18003.00	0.04142	0.25649
MB0112c	NA	HYPOTHETICAL PROTEIN	2	548.1	6.8	-6.33	49.50	0.04022	0.25528
MB0113	PE_PGRS1	pe-pgrs family protein pe_pgrs1	17	67.2	55.3	-0.28	2049.00	0.14726	0.46893
MB0114	NA	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN	13	363.1	552.9	0.61	1494.00	0.34653	0.69768
MB0115	NA	POSSIBLE TRANSMEMBRANE ACYLTRANSFERASE	39	287.3	117.5	-1.29	10042.00	0.02378	0.19752
MB0116	gca	POSSIBLE GDP-MANNOSE 4,6-DEHYDRATASE GCA (GDP-D-MANNOSE DEHYDRATASE)	29	85.0	131.8	0.63	2335.00	0.08805	0.36154
MB0117	gmhA	probable sedoheptulose-7-phosphate isomerase gmha (phosphoheptose isomerase)	11	6.7	3.1	-1.11	36.00	0.58974	0.88073
MB0118	gmhb	possible d-alpha,beta-d-heptose-1,7-biphosphate phosphatase gmhb (d-glycero-d-manno-heptose 7-phosphate kinase)	9	140.3	377.4	1.43	630.00	0.83407	1.00000
MB0119	hdda	possible d-alpha-d-heptose-7-phosphate kinase hdda	13	306.1	128.1	-1.26	951.00	0.13031	0.44294
MB0120c	ldta	probable l,d-transpeptidase ldta	17	218.5	154.2	-0.50	2118.00	0.08286	0.35283
MB0121	oxyS	OXIDATIVE STRESS RESPONSE REGULATORY PROTEIN OXYS	15	120.9	115.1	-0.07	2299.00	0.00262	0.07154
MB0122c	oxcA	PROBABLE OXALYL-COA DECARBOXYLASE OXCA	23	74.1	41.3	-0.84	2588.00	0.16024	0.48807
MB0123	fadD7	PROBABLE FATTY-ACID-COA LIGASE FADD7 (FATTY-ACID-COA SYNTHETASE) (FATTY-ACID-COA SYNTHASE)	10	436.5	2.8	-7.30	174.00	0.03692	0.24324
MB0124c	fusA2b	PROBABLE ELONGATION FACTOR G FUSA2B [SECOND PART] (EF-G)	23	99.0	7.6	-3.71	1504.00	0.23295	0.57016
MB0125c	fusA2a	PROBABLE ELONGATION FACTOR G FUSA2A [FIRST PART] (EF-G)	2	527.0	0.3	-10.73	54.00	0.01284	0.14725
MB0126c	NA	Pyridoxamine 5-phosphate oxidase	10	128.0	122.9	-0.06	323.00	0.42690	0.77196
MB0127	NA	HYPOTHETICAL PROTEIN	9	29.5	34.9	0.24	310.00	0.58088	0.87608
MB0128	NA	unknown protein	6	1.4	17.9	3.68	9.00	0.86866	1.00000
MB0129	PE_PGRS2	pe-pgrs family protein pe_pgrs2	13	157.9	167.0	0.08	804.00	0.97170	1.00000
MB0130	pepA	probable serine protease pepa (serine proteinase) (mtb32a)	10	312.5	236.8	-0.40	551.00	0.59655	0.88746
MB0131	treS	TREHALOSE SYNTHASE TRES	31	256.4	121.0	-1.08	8295.50	0.00122	0.04810
MB0132	mak	maltokinase mak	29	35.1	140.4	2.00	5380.00	0.26471	0.61396
MB0133	NA	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN	19	293.3	202.5	-0.53	2852.00	0.28437	0.63762
MB0134c	fbpC	SECRETED ANTIGEN 85-C FBPC (85C) (ANTIGEN 85 COMPLEX C) (AG58C) (MYCOLYL TRANSFERASE 85C) (FIBRONECTIN-BINDING PROTEIN C)	25	81.1	109.0	0.43	4816.00	0.07151	0.32879
MB0135	htdz	probable 3-hydroxyl-thioester dehydratase	4	99.5	164.3	0.72	124.00	0.88925	1.00000
MB0136c	fadE1	PROBABLE ACYL-CoA DEHYDROGENASE FADE1	18	127.1	47.1	-1.43	2117.50	0.71154	0.96421
MB0137c	fgd2	putative f420-dependent glucose-6-phosphate dehydrogenase fgd2	14	172.6	134.4	-0.36	1454.00	0.48559	0.79866
MB0138	NA	gcn5-related n-acetyltransferase	7	534.0	272.5	-0.97	474.00	0.17555	0.50795
MB0139-1	NA	NA	3	68.4	314.0	2.20	73.00	0.97352	1.00000
MB0139-2	NA	NA	2	236.0	225.4	-0.07	30.00	0.86938	1.00000
MB0139-3	NA	NA	5	111.3	235.4	1.08	197.00	0.94295	1.00000
MB0139-4	NA	NA	2	471.8	56.5	-3.06	49.00	0.07520	0.33798
MB0140c	NA	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN	9	190.7	670.9	1.81	269.00	0.70002	0.95811
MB0141	cyp138	PROBABLE CYTOCHROME P450 138 CYP138	22	264.7	344.3	0.38	3785.00	0.04170	0.25669
MB0142c	msrA	PROBABLE PEPTIDE METHIONINE SULFOXIDE REDUCTASE MSRA (PROTEIN-METHIONINE-S-OXIDE REDUCTASE) (PEPTIDE MET(O) REDUCTASE)	9	113.3	222.2	0.97	551.00	0.58728	0.87983
MB0143	NA	CONSERVED HYPOTHETICAL PROTEIN	6	309.0	324.9	0.07	359.00	0.14472	0.46607
MB0144	NA	possible oxidoreductase	11	627.1	620.9	-0.01	1007.00	0.74579	0.98703
MB0145	NA	COGs COG2343	14	139.0	145.8	0.07	1514.50	0.75032	0.98765
MB0146c	NA	Ketosteroid isomerase-related protein	7	323.3	109.6	-1.56	227.00	0.44813	0.77196
MB0147	NA	3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase	5	118.6	12.5	-3.24	282.00	0.01577	0.16147
MB0148c	NA	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN	24	304.6	324.0	0.09	2482.00	0.64097	0.92267
MB0149	NA	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY)	14	250.8	221.7	-0.18	1489.00	0.36189	0.71511
MB0150	NA	possible s-adenosylmethionine-dependent methyltransferase	13	230.0	441.6	0.94	1038.00	0.38643	0.73559
MB0151	NA	possible s-adenosylmethionine-dependent methyltransferase	14	313.2	400.3	0.35	1375.00	0.87971	1.00000
MB0152	NA	probable aldehyde dehydrogenase (nad+) dependent	24	267.1	442.8	0.73	4531.50	0.39327	0.74406
MB0153	NA	PROBABLE SHORT-CHAIN TYPE DEHYDROGENASE/REDUCTASE	16	241.3	290.3	0.27	2235.00	0.35940	0.71159
MB0154	NA	possible quinone oxidoreductase (nadph:quinone oxidoreductase) (zeta-crystallin)	20	185.2	166.3	-0.16	3162.00	0.27396	0.62501
MB0155c	NA	CONSERVED HYPOTHETICAL PROTEIN	2	62.8	3.4	-4.20	37.00	0.48814	0.79933
MB0156c	PE1	pe family protein pe1	41	270.9	402.0	0.57	13098.50	0.03665	0.24324
MB0157c	PE2	pe family protein pe2	37	407.2	258.7	-0.65	13121.50	0.00266	0.07203
MB0158c	ptbB	PHOSPHOTYROSINE PROTEIN PHOSPHATASE PTPB (PROTEIN-TYROSINE-PHOSPHATASE) (PTPase)	11	165.1	322.2	0.96	579.00	0.33983	0.69249
MB0159c	fadE2	PROBABLE ACYL-CoA DEHYDROGENASE FADE2	11	118.7	915.4	2.95	796.00	0.97193	1.00000
MB0160	pntAa	PROBABLE NAD(P) TRANSHYDROGENASE (SUBUNIT ALPHA) PNTAa [FIRST PART; CATALYTIC PART] (PYRIDINE NUCLEOTIDE TRANSHYDROGENASE SUBUNIT ALPHA) (NICOTINAMIDE NUCLEOTIDE TRANSHYDROGENASE SUBUNIT ALPHA)	10	296.5	257.4	-0.20	661.50	0.88078	1.00000
